date,open,high,low,close
2015-11-18,336.0,337.89,330.28,337.06
2015-11-17,330.95,350.44,329.0,335.44
2015-11-16,319.3,332.2,315.0,330.9
2015-11-15,333.02,334.99,314.6,317.0
2015-11-14,336.28,356.1,325.45,331.61
2015-11-13,337.17,342.0,325.0,333.51
2015-11-12,309.9,344.78,308.42,334.94
2015-11-11,336.66,341.41,294.0,303.0
2015-11-10,378.32,381.44,323.63,337.69
2015-11-09,372.86,386.79,360.54,379.88
2015-11-08,384.62,390.47,366.18,371.87
2015-11-07,374.41,392.82,371.07,385.76
2015-11-06,387.77,396.67,353.26,371.79
2015-11-05,407.99,448.79,364.37,383.22
2015-11-04,404.55,502.0,368.11,404.3
2015-11-03,361.73,420.77,360.4,398.21
2015-11-02,325.78,369.02,320.0,361.98
2015-11-01,309.3,329.85,303.01,328.98
2015-10-31,328.15,334.67,302.99,310.06
2015-10-30,314.95,334.05,313.5,328.78
2015-10-29,304.77,319.6,301.7,313.73
2015-10-28,295.59,308.48,294.4,304.05
2015-10-27,286.9,300.0,286.15,295.17
2015-10-26,283.96,286.99,279.25,285.82
2015-10-25,283.03,296.0,282.2,288.27
2015-10-24,278.6,283.0,278.22,282.59
2015-10-23,275.12,280.19,273.46,277.71
2015-10-22,267.9,280.04,267.39,275.3
2015-10-21,270.3,272.69,264.0,267.8
2015-10-20,264.28,272.95,262.67,270.23
2015-10-19,260.99,266.01,259.82,264.43
2015-10-18,270.04,271.17,260.0,261.0
2015-10-17,263.09,273.0,260.8,268.99
2015-10-16,254.49,267.0,253.69,262.5
2015-10-15,252.47,256.5,250.3,254.44
2015-10-14,249.97,255.93,248.06,252.46
2015-10-13,245.81,250.89,242.82,248.69
2015-10-12,248.05,248.47,245.01,245.48
2015-10-11,245.71,248.5,244.53,247.83
2015-10-10,244.49,246.43,243.0,245.72
2015-10-09,243.29,244.95,242.16,244.49
2015-10-08,243.47,244.76,242.06,243.41
2015-10-07,246.79,247.65,242.3,243.47
2015-10-06,240.85,248.19,239.52,246.93
2015-10-05,238.6,240.57,236.1,240.53
2015-10-04,239.06,239.98,237.62,238.4
2015-10-03,237.77,239.86,236.3,238.77
2015-10-02,237.15,239.06,235.0,237.69
2015-10-01,236.19,239.44,235.01,237.52
2015-09-30,236.78,238.27,234.67,236.65
2015-09-29,239.14,240.56,235.09,236.71
2015-09-28,232.4,239.68,231.69,239.0
2015-09-27,233.81,234.61,231.16,231.91
2015-09-26,235.14,235.67,233.0,233.89
2015-09-25,233.88,237.25,232.56,235.13
2015-09-24,229.42,235.52,228.89,233.19
2015-09-23,230.08,231.5,228.0,229.41
2015-09-22,226.15,231.96,223.12,229.59
2015-09-21,230.29,230.34,225.0,225.93
2015-09-20,230.23,231.7,229.01,230.29
2015-09-19,232.82,233.76,229.98,230.23
2015-09-18,232.44,234.4,230.83,232.82
2015-09-17,227.85,235.0,227.0,232.44
2015-09-16,229.3,230.0,223.0,227.85
2015-09-15,229.51,231.21,226.5,229.3
2015-09-14,230.17,232.92,223.99,229.51
2015-09-13,235.61,236.09,228.0,230.17
2015-09-12,239.94,240.0,233.02,235.61
2015-09-11,238.5,240.94,237.5,239.94
2015-09-10,237.96,241.65,234.78,238.5
2015-09-09,244.04,244.22,237.01,237.96
2015-09-08,240.12,246.24,239.89,244.04
2015-09-07,240.45,242.91,238.44,240.12
2015-09-06,235.45,244.2,235.02,240.45
2015-09-05,231.09,237.22,229.23,235.45
2015-09-04,226.79,231.4,226.33,231.09
2015-09-03,228.77,229.96,226.5,226.79
2015-09-02,227.65,230.77,226.0,228.77
2015-09-01,229.84,231.67,226.17,227.65
2015-08-31,228.43,232.49,224.39,229.84
2015-08-30,229.23,232.75,225.04,228.43
2015-08-29,232.09,233.9,226.67,229.23
2015-08-28,223.8,235.93,220.29,232.09
2015-08-27,225.17,228.89,223.17,223.8
2015-08-26,221.64,231.09,219.77,225.17
2015-08-25,211.79,228.04,198.12,221.64
2015-08-24,228.47,228.99,207.73,211.79
2015-08-23,230.47,234.03,227.13,228.47
2015-08-22,233.27,235.2,223.01,230.47
2015-08-21,235.95,236.66,231.77,233.27
2015-08-20,227.1,236.66,226.01,235.95
2015-08-19,246.0,246.0,221.11,227.1
2015-08-18,256.66,256.99,245.05,246.0
2015-08-17,256.09,259.12,254.63,256.66
2015-08-16,261.03,262.2,254.01,256.09
2015-08-15,265.71,266.5,260.45,261.03
2015-08-14,264.65,266.99,262.0,265.71
2015-08-13,268.51,269.37,262.32,264.65
2015-08-12,270.0,271.5,265.71,268.51
2015-08-11,264.33,270.87,263.64,270.0
2015-08-10,265.36,266.79,261.6,264.33
2015-08-09,261.71,268.95,261.01,265.36
2015-08-08,279.01,279.97,260.41,261.71
2015-08-07,281.99,281.99,277.43,279.01
2015-08-06,281.99,281.99,281.99,281.99
2015-08-05,284.65,285.86,280.63,281.99
2015-08-04,282.72,285.88,280.26,284.65
2015-08-03,281.5,285.8,279.52,282.72
2015-08-02,280.77,282.9,276.57,281.5
2015-08-01,284.39,285.16,276.66,280.77
2015-07-31,287.73,289.0,281.8,284.39
2015-07-30,289.63,290.23,284.53,287.73
2015-07-29,293.84,294.67,287.27,289.63
2015-07-28,294.27,297.0,292.19,293.84
2015-07-27,292.84,297.44,286.43,294.27
2015-07-26,289.34,294.0,287.41,292.84
2015-07-25,289.96,292.0,286.5,289.34
2015-07-24,276.67,290.02,275.9,289.96
2015-07-23,277.93,278.55,275.79,276.67
2015-07-22,276.48,277.93,275.0,277.93
2015-07-21,277.73,281.07,276.28,276.48
2015-07-20,275.5,279.16,274.62,277.73
2015-07-19,276.73,278.1,275.12,275.5
2015-07-18,279.43,283.0,276.73,276.73
2015-07-17,278.27,280.73,272.31,279.43
2015-07-16,285.55,292.4,274.92,277.23
2015-07-15,287.96,293.7,285.4,285.55
2015-07-14,292.0,297.13,286.02,287.96
2015-07-13,310.24,310.73,281.0,292.0
2015-07-12,292.02,317.99,291.64,310.24
2015-07-11,286.61,298.05,283.88,292.02
2015-07-10,269.65,294.71,268.63,286.61
2015-07-09,269.39,271.98,265.92,269.65
2015-07-08,266.18,273.0,263.01,269.39
2015-07-07,269.47,271.69,264.01,266.18
2015-07-06,270.33,278.54,267.13,269.47
2015-07-05,260.74,274.74,258.75,270.33
2015-07-04,255.86,261.28,254.05,260.74
2015-07-03,254.69,256.44,252.4,255.86
2015-07-02,257.07,260.77,253.19,254.69
2015-07-01,264.13,265.25,253.81,257.07
2015-06-30,256.38,268.0,255.0,264.13
2015-06-29,248.9,256.94,248.15,256.38
2015-06-28,251.17,251.4,247.04,248.9
2015-06-27,243.2,252.0,242.36,251.17
2015-06-26,241.65,243.44,240.0,243.2
2015-06-25,240.69,242.9,239.18,241.65
2015-06-24,243.78,244.14,238.2,240.69
2015-06-23,247.09,247.25,242.14,243.78
2015-06-22,243.37,247.99,242.64,247.09
2015-06-21,244.69,245.0,241.06,243.37
2015-06-20,243.42,245.56,239.93,244.69
2015-06-19,248.09,249.93,242.14,243.42
2015-06-18,245.78,251.58,240.0,248.09
2015-06-17,248.75,257.39,243.2,245.78
2015-06-16,235.92,252.05,234.35,248.75
2015-06-15,231.77,237.09,231.55,235.92
2015-06-14,231.51,234.0,230.94,231.77
2015-06-13,229.61,232.03,228.06,231.51
2015-06-12,229.01,230.7,228.29,229.61
2015-06-11,227.51,229.57,227.25,229.01
2015-06-10,229.49,229.75,226.83,227.51
2015-06-09,228.11,230.79,226.67,229.49
